,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
2889,l'entente cordiale,France,102968,1.2,1.2,29000000.0,93,été,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2889,l'entente cordiale,France,102968,1.2,1.2,29000000.0,93,été,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2890,straight outta compton,U.S.A.,219830,3.2,4.2,28000000.0,147,automne,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2890,straight outta compton,U.S.A.,219830,3.2,4.2,28000000.0,147,automne,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2890,straight outta compton,U.S.A.,219830,3.2,4.2,28000000.0,147,automne,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,True
2891,don jon,U.S.A.,165325,2.8,2.6,3000000.0,90,hiver,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2891,don jon,U.S.A.,165325,2.8,2.6,3000000.0,90,hiver,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2891,don jon,U.S.A.,165325,2.8,2.6,3000000.0,90,hiver,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,True
2892,frankenweenie,U.S.A.,326230,3.8,3.8,39000000.0,87,automne,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,True
2892,frankenweenie,U.S.A.,326230,3.8,3.8,39000000.0,87,automne,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,True
2892,frankenweenie,U.S.A.,326230,3.8,3.8,39000000.0,87,automne,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,1,True
2893,friday the 13th,U.S.A.,78164,2.4,2.3,550000.0,97,hiver,2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2894,mr. bean's holiday,Grande-Bretagne,383904,2.4,2.0,25000000.0,90,printemps,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2895,the scorpion king,U.S.A.,247615,2.6,2.0,60000000.0,92,printemps,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2895,the scorpion king,U.S.A.,247615,2.6,2.0,60000000.0,92,printemps,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2896,wonder wheel,U.S.A.,151321,3.4,3.3,25000000.0,101,hiver,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,True
2897,jem and the holograms,U.S.A.,1244,2.0,2.3,5000000.0,118,printemps,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,True
2897,jem and the holograms,U.S.A.,1244,2.0,2.3,5000000.0,118,printemps,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2898,johnny english,Grande-Bretagne,428078,3.1,2.4,40000000.0,90,été,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2898,johnny english,Grande-Bretagne,428078,3.1,2.4,40000000.0,90,été,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2898,johnny english,Grande-Bretagne,428078,3.1,2.4,40000000.0,90,été,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2899,mi obra maestra,Espagne,6603,3.5,3.9,29000000.0,101,hiver,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2900,los reyes del mundo,Colombie,9530,3.8,3.5,29000000.0,111,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
